COMUNA,Poblacion 2016,Poblacion 2017,Poblacion 2018,Poblacion 2019,Poblacion 2020,Poblacion 2021
13,247686,250522,253391,256292,259227,262195
14,237203,239129,241071,243028,245001,246990
12,217446,220476,223550,226666,229825,233028
4,224495,225554,226618,227687,228761,229840
1,214398,215850,217313,218785,220267,221760
7,218707,218395,218083,217772,217461,217151
8,195839,197311,198793,200287,201793,203309
6,189418,191738,194087,196464,198871,201307
11,196538,197678,198825,199979,201139,202306
15,190078,191359,192648,193946,195252,196567
3,191453,192113,192776,193441,194109,194778
5,186277,187517,188766,190023,191288,192562
10,168877,169358,169840,170324,170809,171295
9,165618,166264,166912,167563,168216,168872
2,158145,158180,158216,158251,158287,158322
